Time,Price
2017/3/24,54.01 
2017/3/23,43.14 
2017/3/22,41.46 
2017/3/21,42.45 
2017/3/20,42.06 
2017/3/19,43.17 
2017/3/18,34.20 
2017/3/17,44.65 
2017/3/16,45.07 
2017/3/15,34.80 
2017/3/14,28.66 
2017/3/13,28.40 
2017/3/12,23.20 
2017/3/11,21.30 
2017/3/10,19.18 
2017/3/9,17.75 
2017/3/8,16.51 
2017/3/7,18.88 
2017/3/6,19.51 
2017/3/5,19.35 
2017/3/4,18.50 
2017/3/3,19.49 
2017/3/2,19.02 
2017/3/1,17.43 
2017/2/28,15.86 
2017/2/27,15.50 
2017/2/26,14.57 
2017/2/25,13.55 
2017/2/24,13.11 
2017/2/23,13.27 
2017/2/22,12.68 
2017/2/21,12.82 
2017/2/20,12.40 
2017/2/19,12.80 
2017/2/18,12.79 
2017/2/17,12.76 
2017/2/16,12.92 
2017/2/15,12.92 
2017/2/14,12.96 
2017/2/13,11.35 
2017/2/12,11.26 
2017/2/11,11.33 
2017/2/10,11.30 
2017/2/9,10.90 
2017/2/8,11.35 
2017/2/7,11.41 
2017/2/6,11.32 
2017/2/5,11.18 
2017/2/4,11.32 
2017/2/3,10.93 
2017/2/2,10.80 
2017/2/1,10.71 
2017/1/31,10.71 
2017/1/30,10.53 
2017/1/29,10.46 
2017/1/28,10.51 
2017/1/27,10.50 
2017/1/26,10.63 
2017/1/25,10.48 
2017/1/24,10.50 
2017/1/23,10.77 
2017/1/22,10.64 
2017/1/21,10.95 
2017/1/20,10.62 
2017/1/19,10.38 
2017/1/18,10.19 
2017/1/17,10.12 
2017/1/16,9.61 
2017/1/15,9.81 
2017/1/14,9.67 
2017/1/13,9.67 
2017/1/12,9.83 
2017/1/11,9.79 
2017/1/10,10.61 
2017/1/9,10.26 
2017/1/8,10.28 
2017/1/7,9.84 
2017/1/6,10.08 
2017/1/5,10.15 
2017/1/4,11.00 
2017/1/3,9.74 
2017/1/2,8.37 
2017/1/1,8.20 
2016/12/31,8.00 
2016/12/30,8.16 
2016/12/29,8.27 
2016/12/28,7.58 
2016/12/27,7.12 
2016/12/26,7.27 
2016/12/25,7.23 
2016/12/24,7.25 
2016/12/23,7.16 
2016/12/22,7.61 
2016/12/21,7.89 
2016/12/20,7.61 
2016/12/19,7.58 
2016/12/18,7.93 
2016/12/17,7.73 
2016/12/16,7.86 
2016/12/15,7.83 
2016/12/14,8.21 
2016/12/13,8.36 
2016/12/12,8.45 
2016/12/11,8.19 
2016/12/10,8.12 
2016/12/9,8.52 
2016/12/8,8.30 
2016/12/7,8.33 
2016/12/6,7.71 
2016/12/5,6.70 
2016/12/4,7.55 
2016/12/3,7.91 
2016/12/2,7.70 
2016/12/1,8.46 
2016/11/30,8.62 
2016/11/29,8.16 
2016/11/28,8.70 
2016/11/27,8.88 
2016/11/26,9.33 
2016/11/25,9.38 
2016/11/24,9.20 
2016/11/23,9.69 
2016/11/22,9.84 
2016/11/21,9.61 
2016/11/20,9.57 
